,Longtitude,Latitude,Max Temp,Humidity,Wind Speed,Cloudiness,Country,City
0,18.42,-33.93,66.2,68,6.93,40,ZA,Cape Town
1,153.24,-28.95,66.2,93,3.58,40,AU,Codrington
2,-133.03,69.44,-14.81,75,10.29,75,CA,Tuktoyaktuk
3,92.75,11.67,83.14,98,11.63,80,IN,Port Blair
4,38.72,14.12,41.11,41,2.35,0,ET,Aksum
5,-90.35,-0.74,86.0,55,17.22,40,EC,Puerto Ayora
6,-73.92,46.68,3.94,61,5.93,44,CA,Saint-Michel-des-Saints
7,-139.03,-9.8,78.73,100,16.44,80,PF,Atuona
8,112.38,24.79,47.32,98,2.57,92,CN,Lianzhou
9,167.69,-46.13,55.24,100,8.95,92,NZ,Tuatapere
10,-6.59,62.23,42.8,100,1.12,92,FO,Klaksvik
11,-58.74,-38.55,82.78,61,9.17,12,AR,Necochea
12,-68.31,-54.81,42.8,81,40.26,75,AR,Ushuaia
13,150.18,-35.71,66.44,90,6.15,64,AU,Batemans Bay
14,115.35,-33.64,63.43,100,18.79,0,AU,Busselton
15,-51.1,69.22,-5.81,48,10.29,75,GL,Ilulissat
16,-155.08,19.71,75.92,71,6.93,1,US,Hilo
17,-0.6,45.6,42.8,93,6.93,90,FR,Souillac
18,140.83,35.73,39.2,86,9.17,90,JP,Hasaki
19,32.65,-13.64,65.32,97,3.02,80,ZM,Chipata
20,-73.48,45.36,10.22,55,6.93,1,CA,Saint-Philippe
21,19.24,-34.42,60.01,65,9.4,0,ZA,Hermanus
22,-71.43,41.97,30.92,25,8.05,1,US,Cumberland
23,26.69,13.6,57.22,78,3.47,8,SD,Umm Kaddadah
24,-8.45,37.14,51.8,62,9.17,0,PT,Lagoa
25,-159.78,-21.21,84.2,70,5.82,75,CK,Avarua
26,70.83,66.83,4.43,88,21.03,80,RU,Yar-Sale
27,65.69,40.56,35.6,80,16.11,0,UZ,Nurota
28,-27.07,38.73,60.8,82,23.38,40,PT,Praia da Vitoria
29,-94.97,33.16,47.66,69,16.11,75,US,Mount Pleasant
30,150.67,-10.62,80.44,100,10.96,56,PG,Samarai
31,102.47,71.98,-28.87,47,12.19,48,RU,Khatanga
32,87.98,52.93,1.42,86,2.01,48,RU,Sheregesh
33,-63.55,8.12,88.72,46,13.76,36,VE,Ciudad Bolivar
34,150.85,-34.58,69.59,81,6.49,12,AU,Flinders
35,174.5,-35.62,69.19,95,3.24,8,NZ,Ngunguru
36,-131.65,55.34,42.08,95,8.05,90,US,Ketchikan
37,20.04,-34.53,69.8,43,10.29,0,ZA,Bredasdorp
38,15.66,41.0,28.4,92,4.7,90,IT,Melfi
39,168.86,-46.19,54.79,89,2.35,92,NZ,Mataura
40,-97.86,55.74,10.4,78,12.75,90,CA,Thompson
41,-125.76,54.23,33.95,99,2.46,92,CA,Burns Lake
42,-126.83,65.28,-31.01,66,4.7,20,CA,Norman Wells
43,-135.06,60.72,-9.41,76,5.82,90,CA,Whitehorse
44,80.55,73.51,-17.35,100,32.44,76,RU,Dikson
45,75.37,11.88,68.02,83,2.68,0,IN,Kannur
46,46.47,14.4,41.38,77,1.9,0,YE,Marzuq
47,-17.92,28.66,62.6,59,6.93,0,ES,Los Llanos de Aridane
48,27.91,-33.02,73.1,99,17.67,0,ZA,East London
49,-67.52,-46.43,69.91,29,13.98,12,AR,Mar del Plata
50,150.8,-2.57,81.29,100,10.4,48,PG,Kavieng
51,45.06,-25.17,74.14,95,1.68,80,MG,Beloha
52,10.89,45.88,32.0,92,4.7,20,IT,Nago
53,147.33,-42.88,55.4,62,6.93,20,AU,Hobart
54,-5.07,50.16,50.0,87,16.11,88,GB,Falmouth
55,-70.91,-53.16,50.0,53,39.15,75,CL,Punta Arenas
56,111.9,-8.09,70.81,97,2.68,48,ID,Boyolangu
57,16.43,-28.55,64.42,95,6.15,12,ZA,Oranjemund
58,-114.38,62.45,-4.01,83,10.29,90,CA,Yellowknife
59,101.62,6.7,74.14,100,3.58,92,TH,Sai Buri
60,26.89,-33.59,68.38,90,3.24,0,ZA,Port Alfred
61,-134.97,-23.12,78.95,100,13.98,76,PF,Rikitea
62,37.91,-4.5,69.01,83,2.35,8,TZ,Hedaru
63,136.49,52.42,-28.02,45,2.8,12,RU,Imeni Poliny Osipenko
64,116.51,39.86,14.0,78,6.71,0,CN,Taozhuang
65,135.5,-3.36,68.6,99,1.9,24,ID,Nabire
66,32.65,25.7,62.6,63,6.93,80,EG,Luxor
67,-156.47,20.89,80.06,88,17.22,90,US,Kahului
68,26.73,45.22,8.3,66,3.91,12,RO,Vernesti
69,-109.16,51.47,30.2,68,14.99,40,CA,Kindersley
70,115.24,5.28,80.6,88,3.36,75,BN,Victoria
71,177.51,64.73,-14.81,68,8.95,0,RU,Anadyr
72,-86.95,49.72,6.8,38,3.24,5,CA,Geraldton
73,-46.05,60.91,32.0,90,3.36,75,GL,Narsaq
74,111.65,40.81,1.4,77,4.47,0,CN,Hohhot
75,38.73,8.96,35.26,50,2.68,0,ET,Lebu
76,36.77,58.16,20.68,82,5.93,76,RU,Molokovo
77,107.03,33.08,12.31,73,2.13,8,CN,Hanzhong
78,149.07,-23.58,70.58,78,7.16,0,AU,Bluff
79,-73.75,42.65,24.98,31,11.41,20,US,Albany
80,169.85,-46.28,57.31,81,5.93,92,NZ,Kaitangata
81,73.08,-0.6,81.34,100,4.36,8,MV,Hithadhoo
82,145.91,-41.05,64.1,96,15.99,32,AU,Burnie
83,147.06,-42.78,55.4,62,6.93,20,AU,New Norfolk
84,50.81,9.49,76.61,100,17.45,68,SO,Bandarbeyla
85,-56.15,72.79,-5.34,100,11.41,20,GL,Upernavik
86,96.13,4.14,77.56,100,3.58,0,ID,Meulaboh
87,-39.27,-17.73,80.89,100,11.63,12,BR,Caravelas
88,-37.64,65.61,17.6,67,2.24,75,GL,Tasiilaq
89,5.65,58.89,44.6,87,14.99,75,NO,Sola
90,15.63,78.22,6.8,55,18.34,20,NO,Longyearbyen
91,90.2,23.17,52.58,95,3.02,0,BD,Madaripur
92,159.24,61.92,1.69,100,5.48,0,RU,Evensk
93,115.22,-8.65,78.8,100,2.24,20,ID,Denpasar
94,111.62,-2.68,74.59,97,2.57,24,ID,Pangkalanbuun
95,147.9,70.62,-23.52,71,7.16,80,RU,Chokurdakh
96,92.38,55.96,-7.61,69,11.18,40,RU,Divnogorsk
97,-122.43,37.46,62.6,76,5.82,40,US,Half Moon Bay
98,-68.52,63.75,-25.61,67,26.4,20,CA,Iqaluit
99,156.12,50.68,32.15,100,15.55,88,RU,Severo-Kurilsk
100,76.96,52.28,-5.81,83,4.47,0,KZ,Pavlodar
101,30.79,59.7,23.0,85,13.42,40,RU,Nikolskoye
102,57.19,48.59,24.14,91,18.79,88,KZ,Shubarshi
103,18.06,1.62,75.08,96,3.36,12,CD,Impfondo
104,-71.25,-29.9,69.8,56,12.75,0,CL,La Serena
105,161.92,-10.46,80.98,100,5.82,88,SB,Kirakira
106,178.42,69.38,-19.2,100,8.5,8,RU,Leningradskiy
107,-42.02,-22.97,86.0,69,16.11,20,BR,Arraial do Cabo
108,125.41,-8.93,68.78,87,1.9,32,TL,Airai
109,-50.22,-30.17,75.53,89,15.55,92,BR,Cidreira
110,-72.03,42.08,30.02,34,11.41,1,US,Southbridge
111,110.25,-7.94,72.29,98,2.57,76,ID,Srandakan
112,-159.32,22.08,78.08,62,6.93,40,US,Kapaa
113,-67.43,8.92,93.8,35,13.98,0,VE,Calabozo
114,20.23,67.86,19.4,73,1.12,20,SE,Kiruna
115,-0.57,48.75,48.2,87,16.11,20,FR,Flers
116,150.86,-34.67,69.59,81,6.49,12,AU,Kiama
117,5.82,45.06,39.2,86,3.36,90,FR,Batie
118,48.47,56.76,8.75,84,6.6,56,RU,Sovetskiy
119,26.49,5.39,69.14,69,3.02,12,CF,Obo
120,-52.73,47.66,32.0,100,16.11,90,CA,Torbay
121,88.52,28.28,-6.46,48,7.38,0,CN,Gamba
122,172.79,3.07,83.32,100,10.4,76,KI,Butaritari
123,22.13,-30.97,63.29,54,12.3,0,ZA,Carnarvon
124,-28.7,38.52,60.8,77,20.8,20,PT,Ribeira Grande
125,114.09,71.97,-54.75,0,4.14,0,RU,Saskylakh
126,179.32,63.05,-4.84,95,23.6,32,RU,Beringovskiy
127,48.55,61.74,17.08,72,8.61,80,RU,Urdoma
128,152.44,-3.66,82.69,100,14.43,68,PG,Namatanai
129,138.6,-33.21,65.32,37,11.97,0,AU,Jamestown
130,-99.65,37.17,36.16,89,16.55,68,US,Sitka
131,27.21,35.51,59.0,72,17.22,64,GR,Karpathos
132,12.15,-15.19,74.23,100,8.84,0,AO,Namibe
133,-161.76,60.79,-11.03,77,21.92,75,US,Bethel
134,136.73,36.67,32.0,100,3.36,75,JP,Tsubata
135,-101.88,54.77,10.4,85,11.41,90,CA,Flin Flon
136,134.64,67.65,-49.84,0,2.91,0,RU,Batagay
137,-61.45,10.24,84.2,54,14.99,20,TT,Esperance
138,141.3,-2.67,80.03,100,12.75,64,PG,Vanimo
139,135.99,33.72,46.46,100,9.73,0,JP,Shingu
140,-121.66,36.67,60.8,59,14.99,40,US,Salinas
141,173.16,-35.17,71.89,70,5.03,8,NZ,Ahipara
142,-127.42,50.7,48.2,76,19.46,90,CA,Port Hardy
143,30.11,-4.57,69.8,94,2.91,40,TZ,Kasulu
144,102.25,27.88,36.34,32,2.24,0,CN,Xichang
145,-6.55,41.42,25.54,86,3.47,0,PT,Saldanha
146,-65.11,-43.3,76.57,27,12.08,88,AR,Rawson
147,15.65,58.32,28.4,100,2.35,44,SE,Munkebo
148,32.77,37.57,33.8,86,1.12,75,TR,Cumra
149,22.34,39.45,37.4,70,2.35,75,GR,Saint George
150,-60.77,-19.93,85.12,76,7.38,64,PY,Mayor Pablo Lagerenza
151,128.87,71.64,-26.04,40,8.39,44,RU,Tiksi
152,131.38,44.41,-3.76,50,0.67,0,RU,Pogranichnyy
153,-0.04,16.28,66.71,34,9.4,0,ML,Gao
154,-80.2,44.08,23.0,61,3.36,1,CA,Shelburne
155,2.18,41.38,44.6,65,3.36,0,ES,Barcelona
156,158.65,53.05,30.2,54,6.71,88,RU,Petropavlovsk-Kamchatskiy
157,-81.11,-5.09,62.6,290,17.22,0,PE,Paita
158,37.86,6.95,56.99,31,7.38,0,ET,Boditi
159,-70.76,-28.58,69.64,62,3.13,0,CL,Vallenar
160,-69.36,77.48,-23.47,100,8.61,0,GL,Qaanaaq
161,44.24,65.85,23.47,84,8.5,92,RU,Mezen
162,-9.06,42.77,44.6,81,6.93,0,ES,Muros
163,170.27,69.7,-21.58,64,4.47,0,RU,Pevek
164,-53.46,-33.69,70.27,89,14.65,92,UY,Chuy
165,57.76,-20.34,80.6,78,13.87,40,MU,Bambous Virieux
166,24.07,60.25,17.6,100,5.82,8,FI,Lohja
167,61.21,28.22,23.96,63,2.68,0,IR,Khash
168,15.16,-26.65,61.81,93,5.59,36,NA,Luderitz
169,-82.8,21.88,79.76,82,9.51,76,CU,Nueva Gerona
170,109.46,-7.61,80.71,100,3.91,48,ID,Jatiroto
171,146.27,-20.07,70.49,83,7.27,0,AU,Charters Towers
172,-20.27,63.44,40.34,100,17.0,92,IS,Vestmannaeyjar
173,-60.63,-9.17,83.99,74,0.89,20,BR,Aripuana
174,35.38,-23.87,82.91,92,11.41,36,MZ,Inhambane
175,-72.32,-35.97,61.13,60,5.82,88,CL,Cauquenes
176,32.42,34.81,55.4,71,8.05,20,CY,Emba
177,-94.76,39.95,32.0,95,17.22,90,US,Kodiak
178,77.58,34.16,-9.3,59,1.23,56,IN,Leh
179,108.75,50.36,-17.53,45,2.24,12,RU,Krasnyy Chikoy
180,167.18,-15.51,82.06,99,4.81,68,VU,Luganville
181,-169.92,-19.06,82.4,69,13.87,40,NU,Alofi
182,-52.1,-32.03,71.6,94,9.17,90,BR,Rio Grande
183,8.59,12.64,75.2,33,2.24,0,NG,Kaina
184,44.22,17.54,62.6,45,2.68,0,SA,Najran
185,-59.52,13.22,82.4,58,16.11,40,BB,Bathsheba
186,41.69,13.93,62.98,47,4.03,0,ER,Edd
187,-76.2,-13.71,71.6,30,27.51,0,PE,Pisco
188,150.51,-24.4,69.95,71,9.62,0,AU,Biloela
189,153.71,67.46,-20.82,61,3.13,92,RU,Srednekolymsk
190,-73.25,-3.75,42.8,319,4.7,75,PE,Iquitos
191,57.7,-20.41,80.6,78,13.87,40,MU,Mahebourg
192,150.17,59.7,-3.99,75,5.59,36,RU,Arman
193,74.49,15.34,59.47,86,3.02,0,IN,Vaini
194,-43.42,-20.38,77.92,74,4.7,68,BR,Mariana
195,15.09,32.38,53.3,100,18.23,92,LY,Misratah
196,108.8,15.12,66.58,97,2.46,64,VN,Quang Ngai
197,-77.06,26.54,74.99,100,16.78,36,BS,Marsh Harbour
198,-24.5,14.9,72.43,96,9.95,0,CV,Sao Filipe
199,35.23,31.78,53.6,81,4.7,0,PS,Jerusalem
200,-10.05,5.88,78.8,94,7.83,40,LR,Buchanan
201,26.19,59.1,18.29,83,4.7,0,EE,Vao
202,-72.07,-45.58,59.0,44,12.75,20,CL,Coihaique
203,9.26,-1.57,77.69,100,7.94,80,GA,Omboue
204,103.53,1.68,80.6,88,2.24,75,MY,Kelapa Sawit
205,20.07,32.12,56.9,100,36.91,92,LY,Benghazi
206,-156.68,20.87,80.06,88,17.22,90,US,Lahaina
207,31.74,26.56,62.6,27,5.82,0,EG,Akhmim
208,17.77,8.34,70.99,49,3.91,0,TD,Moissala
209,-67.94,-3.1,77.74,97,1.68,24,BR,Santo Antonio do Ica
210,94.42,23.63,55.73,95,3.13,0,MM,Mawlaik
211,-46.0,-20.63,80.44,67,3.13,24,BR,Ponta do Sol
212,-74.98,39.31,35.06,30,4.7,75,US,Port Elizabeth
213,-54.84,-18.92,84.8,64,3.24,64,BR,Rio Verde de Mato Grosso
214,-73.63,40.73,35.96,30,3.13,1,US,Garden City
215,33.6,40.67,32.24,100,2.46,92,TR,Ayan
216,-4.21,51.04,50.0,87,21.92,92,GB,Northam
217,-89.33,42.01,30.2,95,16.11,90,US,Oregon
218,-173.23,64.42,-12.49,100,17.67,12,RU,Provideniya
219,16.92,-3.02,77.11,89,4.59,32,CD,Mushie
220,8.78,-0.72,80.6,88,6.93,40,GA,Port-Gentil
221,88.39,69.49,-40.8,90,8.61,44,RU,Talnakh
222,95.18,19.32,61.54,87,3.13,20,MM,Thayetmyo
223,138.43,38.08,40.39,100,4.92,64,JP,Ryotsu
224,82.6,54.81,-5.81,76,6.71,76,RU,Yarkovo
225,-114.4,54.12,17.6,85,2.91,1,CA,Barrhead
226,111.51,65.95,-29.14,44,3.69,24,RU,Aykhal
227,42.46,37.52,-0.52,54,1.79,0,TR,Sirnak
228,111.96,21.85,65.18,100,10.4,88,CN,Yangjiang
229,50.49,53.25,32.0,96,17.9,90,RU,Alekseyevka
230,-15.83,11.28,80.03,97,9.73,12,GW,Bubaque
231,-151.26,60.55,6.08,72,10.29,90,US,Kenai
232,-86.13,40.49,30.2,100,16.11,90,US,Kokomo
233,-52.33,4.94,82.4,69,13.87,75,GF,Cayenne
234,-16.33,33.08,62.6,72,14.99,40,PT,Camacha
235,122.88,-0.91,77.02,100,1.79,56,ID,Biak
236,-124.22,43.41,57.02,64,5.82,1,US,North Bend
237,108.94,30.3,27.16,84,2.35,68,CN,Lichuan
238,15.55,38.19,48.2,49,5.82,40,IT,Messina
239,57.76,-20.21,80.6,78,13.87,40,MU,Quatre Cocos
240,-68.59,70.47,-31.01,66,6.93,20,CA,Clyde River
241,-64.5,-31.42,77.0,73,12.75,75,AR,Villa Carlos Paz
242,-123.43,48.12,53.06,74,1.45,75,US,Port Angeles
243,-47.36,-0.61,80.21,100,9.84,12,BR,Salinopolis
244,81.12,6.12,78.14,100,11.18,92,LK,Hambantota
245,-149.15,-17.73,82.4,74,19.46,90,PF,Tautira
246,22.4,62.62,17.6,92,2.24,0,FI,Kurikka
247,-170.99,65.58,-10.96,100,25.84,8,RU,Lavrentiya
248,-67.48,-45.87,69.8,28,13.87,40,AR,Comodoro Rivadavia
249,-73.83,-41.87,59.0,67,8.05,0,CL,Ancud
250,113.87,-7.02,78.19,100,5.14,68,ID,Sumenep
251,-65.72,66.15,-27.41,67,6.93,5,CA,Pangnirtung
252,159.96,-9.43,75.71,100,2.91,80,SB,Honiara
253,88.13,47.83,-5.25,67,2.91,20,CN,Altay
254,30.29,36.37,23.11,88,0.78,12,TR,Kumluca
255,-15.21,64.25,36.34,100,10.29,92,IS,Hofn
256,-71.34,-29.95,69.8,56,12.75,0,CL,Coquimbo
257,-82.53,33.19,53.6,64,5.82,90,US,Avera
258,135.86,-34.72,64.1,95,13.98,8,AU,Port Lincoln
259,-62.99,-40.81,79.94,30,7.94,76,AR,Viedma
260,120.72,14.29,78.8,78,4.7,20,PH,Ternate
261,-71.08,19.55,80.6,78,5.82,75,DO,Mao
262,48.53,5.35,75.58,84,16.89,56,SO,Hobyo
263,121.97,53.97,-14.07,60,2.35,36,RU,Yerofey Pavlovich
264,132.93,48.79,-9.39,51,2.8,0,RU,Birobidzhan
265,87.89,25.65,53.39,79,2.8,0,IN,Jian
266,-120.67,35.49,60.98,68,5.82,20,US,Atascadero
267,21.3,29.14,53.17,52,19.46,0,LY,Awjilah
268,73.14,19.24,69.8,68,1.68,0,IN,Kalyan
269,-60.23,-38.31,73.28,95,6.6,36,AR,Barrow
270,-115.79,60.82,-4.01,76,9.17,75,CA,Hay River
271,123.95,41.89,23.0,92,2.24,0,CN,Fushun
272,119.94,54.43,-20.68,55,3.13,8,RU,Tupik
273,6.98,46.36,39.2,88,3.36,88,CH,Luan
274,147.26,-43.03,55.4,62,6.93,20,AU,Margate
275,-8.03,13.58,74.0,26,8.39,56,ML,Kolokani
